"Año Factura","Valor Cvu A Vc","Valor Cvu A Gnc","Estado Civil","Pais Residencia","Cant Polizas","Rango Edades","Genero","Rango Vlr Anticipos Polizas","Rango Vlr Disponible Polizas","Empresa Cvu Cv","Anio Mes Compro 1ra Poliza","Zonas Ciudades Cli","Fecha Factura","Ciudad Origen","Ciudad Destino","Nombre Proveedor","Valor Presupuesto Servicios Ppto","No. Factura","Mes Nombre Factura","Nombre Asesor Servicios Ppto","Cod Tipos Servicio","Nombre Director","Valor Total Neto Factura","Valor Base Comisionable","Mes Factura","Valor Total Item Factura","Valor Total Neto Item Factura"
"2017","","","","","","","","","","Circular","","","2017/12/27 00:00:00","","","","","240100243493","Diciembre","","-3","","","0","12","152100","152100"
"2017","","","","","","","","","","Circular","","","2017/12/11 00:00:00","","","","","240700018818","Diciembre","","-4","","","0","12","340959","286520"
"2017","","","","","","","","","","Circular","","","2017/12/11 00:00:00","","","","","240700018819","Diciembre","","-3","","","0","12","60333","50700"
"2017","","","","","","","","","","Circular","","","2017/12/11 00:00:00","","","","","240700018822","Diciembre","","49","","","83387","12","99231","83387"
"2017","","","","","","","","","","Circular","","","2017/12/12 00:00:00","","","","20363158","243100007343","Diciembre","MONICA ALEJANDRA PARRA BEDOYA","-3","MONICA ALEJANDRA PARRA BEDOYA","","0","12","180999","152100"
"2017","","","","","","","","","","Circular","","","2017/12/15 00:00:00","","","","20363158","243100007348","Diciembre","MONICA ALEJANDRA PARRA BEDOYA","-4","MONICA ALEJANDRA PARRA BEDOYA","","0","12","164165","137954"
"2017","","","","","","","","","","Circular","","","2017/12/15 00:00:00","","","","20363158","243100007348","Diciembre","MONICA ALEJANDRA PARRA BEDOYA","49","MONICA ALEJANDRA PARRA BEDOYA","","27722","12","32989","27722"
"2017","","","","","","","","","","Circular","","","2017/12/29 00:00:00","","","","20363158","243100007373","Diciembre","MONICA ALEJANDRA PARRA BEDOYA","-3","MONICA ALEJANDRA PARRA BEDOYA","","0","12","60333","50700"
"2017","","","","","","","","","","Circular","","","2017/12/29 00:00:00","","","","20363158","243100007373","Diciembre","MONICA ALEJANDRA PARRA BEDOYA","49","MONICA ALEJANDRA PARRA BEDOYA","","10924","12","13000","10924"
"2017","","","","","","","","","","Circular","","","2017/12/11 00:00:00","","","","90000000","240200041505","Diciembre","JULIANA VALENCIA GOMEZ","-3","CAROLINA MONTOYA SEPULVEDA","","0","12","60333","50700"
"2017","","","","","","","","","","Circular","","","2017/12/19 00:00:00","","","","90000000","240200041543","Diciembre","JULIANA VALENCIA GOMEZ","-3","CAROLINA MONTOYA SEPULVEDA","","0","12","133280","112000"
"2017","","","","","","","","","","Circular","","","2017/12/20 00:00:00","","","","90000000","240200041564","Diciembre","JULIANA VALENCIA GOMEZ","-4","CAROLINA MONTOYA SEPULVEDA","","0","12","162687","136712"
"2017","","","","","","","","","","Circular","","","2017/12/05 00:00:00","","","","121495000","240300066686","Diciembre","MARIA ISABEL LONDOÑO TORRES","-4","CAROLINA MONTOYA SEPULVEDA","","0","12","429256","360720"
"2017","","","","","","","","","","Circular","","","2017/12/05 00:00:00","","","","121495000","240300066691","Diciembre","KATHERINE BENJUMEA MUÑOZ","-3","CAROLINA MONTOYA SEPULVEDA","","0","12","120666","101400"
"2017","","","","","","","","","","Circular","","","2017/12/05 00:00:00","","","","121495000","240300066691","Diciembre","KATHERINE BENJUMEA MUÑOZ","49","CAROLINA MONTOYA SEPULVEDA","","10924","12","13000","10924"
"2017","","","","","","","","","","Circular","","","2017/12/13 00:00:00","","","","121495000","240300066781","Diciembre","MARIA ISABEL LONDOÑO TORRES","-4","CAROLINA MONTOYA SEPULVEDA","","0","12","53800","45210"
"2017","","","","","","","","","","Circular","","","2017/12/18 00:00:00","","","","121495000","240300066846","Diciembre","GLORIA ELENA TORRES OCAMPO","-4","CAROLINA MONTOYA SEPULVEDA","","0","12","199720","167832"
"2017","","","","","","","","","","Circular","","","2017/12/15 00:00:00","","","","124118000","240800118319","Diciembre","JAVIER IGNACIO MORENO PUELLO","-3","MAGNOLIA MENDOZA PEÑA","","0","12","33320","28000"
"2017","","","","","","","","","","Circular","","","2017/12/05 00:00:00","","","","105000000","240600030527","Diciembre","RUTH MILENA NIÑO VILLAR","-3","DIRECTOR VIRTUAL REGION COSTA","","0","12","60333","50700"
"2017","","","","","","","","","","Circular","","","2017/12/04 00:00:00","","","","95000000","240200041463","Diciembre","LUZ ADRIANA MEJIA .","-3","CAROLINA MONTOYA SEPULVEDA","","0","12","60333","50700"
"2017","","","","","","","","","","Circular","","","2017/12/30 00:00:00","","","","94000000","241500007878","Diciembre","VANESSA ALEJANDRA MARMOLEJO LOPEZ","-4","CLAUDIA PATRICIA SANTOS MARTINEZ","","0","12","213056","179040"
"2017","","","","","","","","","","Circular","","","2017/12/30 00:00:00","","","","94000000","241500007879","Diciembre","VANESSA ALEJANDRA MARMOLEJO LOPEZ","-4","CLAUDIA PATRICIA SANTOS MARTINEZ","","0","12","213056","179040"
"2017","","","","","","","","","","Circular","","","2017/12/28 00:00:00","","","","75000000","240300066955","Diciembre","BRENDA MARIA PATIÑO GIRALDO","-3","CAROLINA MONTOYA SEPULVEDA","","0","12","301665","253500"
"2017","","","","","","","","","","Circular","","","2017/12/28 00:00:00","","","","75000000","240300066955","Diciembre","BRENDA MARIA PATIÑO GIRALDO","49","CAROLINA MONTOYA SEPULVEDA","","27311","12","32500","27311"
"2017","","","","","","","","","","Circular","","","2017/12/05 00:00:00","","","","107000000","240100242539","Diciembre","JOHN FERNEY CASTELLANOS CAVIEDES","-4","JOHN FERNEY CASTELLANOS CAVIEDES","","0","12","983022","826068"
"2017","","","","","","","","","","Circular","","","2017/12/05 00:00:00","","","","107000000","240100242540","Diciembre","JOHN FERNEY CASTELLANOS CAVIEDES","-4","JOHN FERNEY CASTELLANOS CAVIEDES","","0","12","163837","137678"
"2017","","","","","","","","","","Circular","","","2017/12/06 00:00:00","","","","107000000","240100242549","Diciembre","MANUEL LEONARDO VARGAS LOZADA","-3","LEILA MILENA RIVERA NIÑO","","0","12","33320","28000"
"2017","","","","","","","","","","Circular","","","2017/12/06 00:00:00","","","","107000000","240100242556","Diciembre","MARIA ANGELICA FONSECA MATAMOROS","-3","LEILA MILENA RIVERA NIÑO","","0","12","120666","101400"
"2017","","","","","","","","","","Circular","","","2017/12/06 00:00:00","","","","107000000","240100242560","Diciembre","LUISA PAOLA CAICEDO PEÑA","-4","PEDRO ANTONIO CACERES JAUREGUI","","0","12","99827","83888"
"2017","","","","","","","","","","Circular","","","2017/12/06 00:00:00","","","","107000000","240100242561","Diciembre","DIANA IVONNE MENDEZ ROMERO","-4","MONICA ALEJANDRA PARRA BEDOYA","","0","12","338698","284620"
"2017","","","","","","","","","","Circular","","","2017/12/11 00:00:00","","","","107000000","240100242743","Diciembre","MANUEL LEONARDO VARGAS LOZADA","-4","LEILA MILENA RIVERA NIÑO","","0","12","269180","226200"
"2017","","","","","","","","","","Circular","","","2017/12/12 00:00:00","","","","107000000","240100242834","Diciembre","WENDY NIYERETH PARDO GUTIERREZ","-4","PEDRO ANTONIO CACERES JAUREGUI","","0","12","401704","337568"
"2017","","","","","","","","","","Circular","","","2017/12/13 00:00:00","","","","107000000","240100242877","Diciembre","JULY TATIANA FUENTES PEDREROS","-3","PEDRO ANTONIO CACERES JAUREGUI","","0","12","28000","28000"
"2017","","","","","","","","","","Circular","","","2017/12/19 00:00:00","","","","107000000","240100243111","Diciembre","MANUEL LEONARDO VARGAS LOZADA","-3","LEILA MILENA RIVERA NIÑO","","0","12","33320","28000"
"2017","","","","","","","","","","Circular","","","2017/12/19 00:00:00","","","","107000000","240100243161","Diciembre","DIANA IVONNE MENDEZ ROMERO","-3","MONICA ALEJANDRA PARRA BEDOYA","","0","12","180999","152100"
"2017","","","","","","","","","","Circular","","","2017/12/20 00:00:00","","","","107000000","240100243250","Diciembre","LIDA PATRICIA HERRERA PAEZ","-4","JOHN FERNEY CASTELLANOS CAVIEDES","","0","12","325374","273424"
"2017","","","","","","","","","","Circular","","","2017/12/22 00:00:00","","","","107000000","240100243399","Diciembre","LEIDY CONSTANZA RUBIANO BARRETO","-3","CAROLINA MONTOYA SEPULVEDA","","0","12","241332","202800"
"2017","","","","","","","","","","Circular","","","2017/12/27 00:00:00","","","","107000000","240100243503","Diciembre","MANUEL LEONARDO VARGAS LOZADA","-4","LEILA MILENA RIVERA NIÑO","","0","12","211488","177720"
"2017","","","","","","","","","","Circular","","","2017/12/27 00:00:00","","","","107000000","240100243536","Diciembre","LUISA PAOLA CAICEDO PEÑA","-4","PEDRO ANTONIO CACERES JAUREGUI","","0","12","334854","281390"
"2017","","","","","","","","","","Circular","","","2017/12/28 00:00:00","","","","107000000","240100243581","Diciembre","DIANA IVONNE MENDEZ ROMERO","-4","MONICA ALEJANDRA PARRA BEDOYA","","0","12","813435","683560"
"2017","","","","","","","","","","Circular","","","2017/12/28 00:00:00","","","","107000000","240100243612","Diciembre","LUISA PAOLA CAICEDO PEÑA","-3","PEDRO ANTONIO CACERES JAUREGUI","","0","12","66640","56000"
"2017","","","","","","","","","","Circular","","","2017/12/28 00:00:00","","","","107000000","240100243619","Diciembre","LIDA PATRICIA HERRERA PAEZ","-4","JOHN FERNEY CASTELLANOS CAVIEDES","","0","12","371350","312060"
"2017","","","","","","","","","","Circular","","","2017/12/30 00:00:00","","","","107000000","240100243800","Diciembre","MAYERLY CAROLINA SOTELO LEIVA","-3","LEILA MILENA RIVERA NIÑO","","0","12","304200","304200"
"2017","","","","","","","","","","Circular","","","2017/12/05 00:00:00","","","","96242543","240100242449","Diciembre","JUAN DAVID AMAYA CHARRY","-3","LEILA MILENA RIVERA NIÑO","","0","12","6664","5600"
"2017","","","","","","","","","","Circular","","","2017/12/06 00:00:00","","","","96242543","240100242586","Diciembre","CARMEN ELISA DELGADO GARCIA","-3","MONICA ALEJANDRA PARRA BEDOYA","","0","12","6664","5600"
"2017","","","","","","","","","","Circular","","","2017/12/07 00:00:00","","","","96242543","240100242615","Diciembre","YANETH BOCACHICA OCASION","-3","MONICA ALEJANDRA PARRA BEDOYA","","0","12","12067","10140"
"2017","","","","","","","","","","Circular","","","2017/12/07 00:00:00","","","","96242543","240100242648","Diciembre","LUIS ANDRES BONILLA LEIVA","-3","DIRECTOR CANAL VIRTUAL CONTACT CENTER","","0","12","1206660","1014000"
"2017","","","","","","","","","","Circular","","","2017/12/07 00:00:00","","","","96242543","240100242669","Diciembre","CARMEN ELISA DELGADO GARCIA","-4","MONICA ALEJANDRA PARRA BEDOYA","","0","12","169971","142833"
"2017","","","","","","","","","","Circular","","","2017/12/09 00:00:00","","","","96242543","240100242685","Diciembre","JUAN DAVID AMAYA CHARRY","-3","LEILA MILENA RIVERA NIÑO","","0","12","24134","20280"
"2017","","","","","","","","","","Circular","","","2017/12/09 00:00:00","","","","96242543","240100242699","Diciembre","CARMEN CECILIA VEGA RIVAS","-4","LEILA MILENA RIVERA NIÑO","","0","12","50097","42098"
