antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'A LUGARES Y DESTINOS S.A.'}),frozenset({'ANDINA'}),0.0041665420265205744,0.5312020580580923,0.0032477660924673194,0.7794871794871795,1.4674024086742803,1.0,0.0010344903929940556,2.1259441553179537,0.31985637052783344,0.00610343719884356,0.5296207581471296,0.3928005866463692
frozenset({'AEROREPUBLICA'}),frozenset({'ANDINA'}),0.0065809997136837784,0.5312020580580923,0.0035127154315896534,0.5337662337662338,1.0048271193028042,1.0,1.6874839601114383e-05,1.005499764053674,0.004835754256180691,0.006574790238596099,0.005469682092715412,0.2701895003753336
frozenset({'AEROREPUBLICA'}),frozenset({'Mujer'}),0.0065809997136837784,0.5769100924331323,0.0037819381471494444,0.5746753246753247,0.996126315370247,1.0,-1.4707005974281488e-05,0.994745736874773,-0.0038992461652694733,0.006523854455387157,-0.005282016228322403,0.2906154158357846
frozenset({'AEROVIAS DE INTEGRACION REGIONAL LAN COLOMBIA'}),frozenset({'ANDINA'}),0.06862615220912195,0.5312020580580923,0.03619122504882333,0.5273678311227349,0.9927819802706072,1.0,-0.00026312824127015105,0.9918875032470481,-0.007745743486154351,0.0642101671784374,-0.008178847627775052,0.2977493192056295
frozenset({'AEROVIAS DE INTEGRACION REGIONAL LAN COLOMBIA'}),frozenset({'Mujer'}),0.06862615220912195,0.5769100924331323,0.04112697483408616,0.5992901176910144,1.0387929168711432,1.0,0.0015358550197914073,1.0558509441517216,0.0400958492947619,0.06804491077236346,0.052896618089016925,0.3352892392589856
frozenset({'AEROVIAS DE INTEGRACION REGIONAL/LAN COLOMBIA'}),frozenset({'ANDINA'}),0.05968624870196191,0.5312020580580923,0.03376394723234775,0.5656905563113052,1.0649253852277831,1.0,0.00205848908409844,1.0794099662219954,0.06483694867780807,0.06060396867401492,0.07356793869518864,0.3146259788515216
frozenset({'AEROVIAS DE INTEGRACION REGIONAL/LAN COLOMBIA'}),frozenset({'Mujer'}),0.05968624870196191,0.5769100924331323,0.03514424782164636,0.5888164960263478,1.0206382307215323,1.0,0.0007106485660105938,1.0289564232955668,0.02150442546438326,0.05843233104075485,0.028141544811805103,0.32486728164996176
frozenset({'ALIADOS TRAVEL S.A.S'}),frozenset({'Mujer'}),0.012354331280688184,0.5769100924331323,0.007439948377612636,0.6022137668626774,1.0438606894929263,1.0,0.00031260997652127805,1.0636112371963606,0.04254335621900015,0.012787272954293397,0.05980684950643952,0.3075549838157803
frozenset({'ALIADOS TRAVEL S.A.S'}),frozenset({'PACIFICO'}),0.012354331280688184,0.11363335284841906,0.006931416581555253,0.5610515392597717,4.9373843611583395,1.0,0.005527552495930552,2.019295490082916,0.807438979564316,0.05821966977745873,0.504777777739236,0.3110248106588054
frozenset({'AMERICAN AIRLINES'}),frozenset({'ANDINA'}),0.01520894674090946,0.5312020580580923,0.006089561423376224,0.400393368923855,0.753749656745622,1.0,-0.0019894623862907962,0.7818424908018976,-0.24910602960803593,0.011270256803676082,-0.2790299987077306,0.205928553654639
frozenset({'AMERICAN AIRLINES'}),frozenset({'Mujer'}),0.01520894674090946,0.5769100924331323,0.00896981714222224,0.5897724079797696,1.0222951820662214,1.0,0.00019562227211357766,1.0313540965962207,0.022145761312960272,0.015381684144187717,0.03040090372423848,0.30266022047865154
frozenset({'ASSIST CARD DE COLOMBIA'}),frozenset({'ANDINA'}),0.07460887922156174,0.5312020580580923,0.04114834171627345,0.5515207056532448,1.0382503179099705,1.0,0.0015159515243722138,1.045305653686305,0.03981141815441603,0.07287244106406326,0.043342015348843826,0.31449169911196895
frozenset({'ASSIST UNO ASISTENCIA AL VIAJERO S.A.S'}),frozenset({'ANDINA'}),0.011294533924198848,0.5312020580580923,0.006576726337246322,0.5822928490351873,1.0961795802596603,1.0,0.0005770466719049521,1.1223124642685345,0.08874302622909286,0.012271846518192474,0.10898254110387297,0.29733684324572207
frozenset({'AVIANCA'}),frozenset({'ANDINA'}),0.26595358258513635,0.5312020580580923,0.1274021717299055,0.4790391258937896,0.9018020894817427,1.0,-0.013872918687241748,0.8998716894933879,-0.1291801556425093,0.19022248878623338,-0.11126954173098008,0.3594383111871104
frozenset({'CIC COLOMBIA TRAVEL S.A.S'}),frozenset({'ANDINA'}),0.01637557850833522,0.5312020580580923,0.006692107501057661,0.4086638830897704,0.7693190884533037,1.0,-0.002006633504461873,0.7927774552168537,-0.23362411873823402,0.012372502389962944,-0.26138803950531525,0.21063096411034918
frozenset({'COPA AIRLINES'}),frozenset({'ANDINA'}),0.038340733396864196,0.5312020580580923,0.016200370074399485,0.4225367810967455,0.7954351356269347,1.0,-0.004166306413471408,0.8118230332180654,-0.21099984620785872,0.029277296387254223,-0.2317955503627453,0.22651717378315814
frozenset({'Cancun'}),frozenset({'ANDINA'}),0.02643083326567154,0.5312020580580923,0.017153333019952394,0.6489894907033144,1.221737530678657,1.0,0.0031132199930373836,1.3355666839754483,0.1864208485267633,0.03173724659223884,0.2512541590035777,0.3406405158355476
frozenset({'DORADO MAYORISTA DE TURISMO S.A.S'}),frozenset({'ANDINA'}),0.004256282931707171,0.5312020580580923,0.0034357946557154275,0.8072289156626508,1.5196268602829324,1.0,0.001174848402715048,2.4318893238236483,0.3434053494495842,0.006457986939444323,0.5887970763292366,0.4068484387653184
frozenset({'EASYFLY S.A.'}),frozenset({'ANDINA'}),0.007743358104672082,0.5312020580580923,0.004478498506454935,0.5783664459161149,1.0887880367603258,1.0,0.00036521074497231684,1.1118610874329018,0.08218396652326822,0.008379374585228954,0.10060707106062139,0.29339866079241644
frozenset({'EMPRESA AEREA DE SERVICIOS Y FACILITACION LOGISTICA INTEGRAL'}),frozenset({'ANDINA'}),0.006675013995307832,0.5312020580580923,0.003572542701714051,0.5352112676056339,1.0075474284911432,1.0,2.6761529839961547e-05,1.0086258750871349,0.0075412293343869955,0.0066863417872367655,0.008552105691706285,0.2709683303958743
frozenset({'Eje Cafetero'}),frozenset({'ANDINA'}),0.01760203754588538,0.5312020580580923,0.007952753550107475,0.4518086914299587,0.8505401750166957,1.0,-0.001397485020282651,0.8551721536132497,-0.15173143269208503,0.014704139440436777,-0.1693551944773081,0.23338996576244325
frozenset({'Entre 18 y 24 Años'}),frozenset({'ANDINA'}),0.011461195605259671,0.5312020580580923,0.0069356899579927096,0.6051454138702461,1.1392000552152743,1.0,0.0008474792646724098,1.18726730905401,0.12360774634114775,0.012946300373312913,0.1577296937479233,0.3091010042682955
frozenset({'Entre 25 y 32 Años'}),frozenset({'ANDINA'}),0.06668176593007902,0.5312020580580923,0.041772254676142165,0.6264419379646244,1.1792912479569435,1.0,0.006350763379136211,1.2549533515288263,0.1628951912999049,0.07511488158359844,0.2031576322882707,0.35253958046214007
frozenset({'Entre 33 y 43 Años'}),frozenset({'ANDINA'}),0.1478160909716376,0.5312020580580923,0.09096736422414714,0.6154090777681411,1.1585216367908724,1.0,0.012447152485911064,1.2189521770856642,0.16056506859648376,0.1546930411022615,0.17962327087281363,0.3933286087123156
frozenset({'Entre 43 y 54 Años'}),frozenset({'ANDINA'}),0.21010055254757337,0.5312020580580923,0.12935937813826082,0.6157022271941421,1.1590734972770171,1.0,0.017753532225847482,1.2198820162789188,0.1737460914663119,0.21139114099958795,0.1802485923594795,0.4296121047076459
frozenset({'Entre 55 y 66 Años'}),frozenset({'ANDINA'}),0.24652253992401937,0.5312020580580923,0.1491963915609362,0.6052038552211898,1.1393100723924618,1.0,0.018243110995588896,1.1874430592643148,0.16228198672255123,0.23737421811259177,0.15785435587997448,0.4430347340141989
frozenset({'Entre 67 y 78 Años'}),frozenset({'ANDINA'}),0.16209344164918144,0.5312020580580923,0.08896742405141726,0.5488650444227676,1.0332509750230368,1.0,0.0028630542496527883,1.0391523337890662,0.03840634433031666,0.14721709554014012,0.03767718410091504,0.358174125525812
frozenset({'FAST COLOMBIA S.A.S'}),frozenset({'ANDINA'}),0.01977718615255099,0.5312020580580923,0.010615067070643186,0.536732929991357,1.010411992667129,1.0,0.00010938508381009605,1.0119388410947525,0.01051261005007585,0.019644283466061417,0.011797986805048961,0.27835801803055243
frozenset({'GRUPO WELCOME S.A.'}),frozenset({'ANDINA'}),0.012025281295003996,0.5312020580580923,0.00862794702722568,0.7174840085287846,1.3506800240038235,1.0,0.0022400928545920767,1.6593678095906013,0.2627923503624898,0.016139088729016784,0.39736085380207553,0.36686315787848667
frozenset({'Hombre'}),frozenset({'ANDINA'}),0.3220672885853842,0.5312020580580923,0.1894259573431564,0.5881564631266089,1.1072179676349974,1.0,0.018343150813410786,1.1382913654561622,0.14283934698351886,0.2853473581213307,0.12149030525303418,0.47237757591791607
frozenset({'IBERIA'}),frozenset({'ANDINA'}),0.006666467242432919,0.5312020580580923,0.0037092907477126753,0.5564102564102564,1.0474550088234171,1.0,0.00016804962855545332,1.0568277303892717,0.045609108574554504,0.006944166659999839,0.05377199022620258,0.28169654045725
frozenset({'MAS HOTELES S.A.S'}),frozenset({'ANDINA'}),0.008803155461161418,0.5312020580580923,0.00591007961300303,0.6713592233009709,1.2638490629257897,1.0,0.0012338253146287502,1.426475273855731,0.21062040063064374,0.011065593445456146,0.2989713748791297,0.3412425415406749
frozenset({'MEGA TRAVEL SAS'}),frozenset({'ANDINA'}),0.005042584196199259,0.5312020580580923,0.0031452050579683513,0.623728813559322,1.1741837293316943,1.0,0.0004665739550160936,1.2459044402960608,0.14909635741857957,0.00589984689256026,0.1973702254706045,0.31482486693814216
frozenset({'Madrid'}),frozenset({'ANDINA'}),0.00817496912485524,0.5312020580580923,0.0036323699718384494,0.4443282801881861,0.8364581300993271,1.0,-0.0007101904518460153,0.8436598898728781,-0.16466787200196942,0.006780039563524983,-0.18531177314910519,0.22558314978799113
frozenset({'Mas de 79 Años'}),frozenset({'ANDINA'}),0.043387590969500914,0.5312020580580923,0.02354203079395061,0.5425982468235989,1.0214535854909288,1.0,0.0004944531767690254,1.0249150526563715,0.021955596356552896,0.04272231657476987,0.02430938309647874,0.29345832859260473
frozenset({'Mexico City'}),frozenset({'ANDINA'}),0.010602246941330815,0.5312020580580923,0.006085288046938767,0.5739621120515921,1.080496777722995,1.0,0.0004533526516637236,1.1003667870935412,0.07529811428463824,0.011359104034715463,0.09121211969569296,0.29270890285416173
frozenset({'Miami'}),frozenset({'ANDINA'}),0.006589546466558693,0.5312020580580923,0.0030981979171563244,0.4701686121919585,0.8851031449515597,1.0,-0.0004021827275490831,0.8848059075574317,-0.11557091411876007,0.005794344719553716,-0.13019136904337542,0.23800052024665702
frozenset({'Mujer'}),frozenset({'ANDINA'}),0.5769100924331323,0.5312020580580923,0.34177610071493586,0.5924252412945089,1.115254039979117,1.0,0.035320272299971756,1.1502133827690144,0.2442585005272751,0.4459872412562455,0.13059610070558553,0.6179132762926428
frozenset({'ANDINA'}),frozenset({'Mujer'}),0.5312020580580923,0.5769100924331323,0.34177610071493586,0.6434013112907767,1.115254039979117,1.0,0.035320272299971756,1.1864595158729327,0.22044317426485754,0.4459872412562455,0.15715623953316765,0.6179132762926428
frozenset({'OMAR SOTO RAMIREZ Y/O VUELO SECRETO'}),frozenset({'ANDINA'}),0.0037306576298999604,0.5312020580580923,0.0031152914229061524,0.8350515463917526,1.5720035977353675,1.0,0.0011335584119931685,2.842087523022816,0.36523169475891937,0.005857821276185424,0.6481459519105837,0.4204580768039371
